,Name,Rank,Link,Geek Rating,Average ratings,Voters,min_layers,max_layers,min_duration,max_duration,weight
176,Viscounts of the West Kingdom,177,https://boardgamegeek.com/boardgame/296151/viscounts-of-the-west-kingdom,7.389,7.84,10009.0,1,4,60,90,3.46
177,War Chest,178,https://boardgamegeek.com/boardgame/249259/war-chest,7.385,7.84,10511.0,2,4,30,na,2.31
178,Istanbul,179,https://boardgamegeek.com/boardgame/148949/istanbul,7.384,7.54,31773.0,2,5,40,60,2.58
179,Glen More II: Chronicles,180,https://boardgamegeek.com/boardgame/265188/glen-more-ii-chronicles,7.384,7.89,8468.0,2,4,90,120,3.01
180,Marco Polo II: In the Service of the Khan,181,https://boardgamegeek.com/boardgame/283948/marco-polo-ii-in-the-service-of-the-khan,7.384,7.96,7492.0,2,4,60,120,3.37
181,Star Wars: X-Wing Miniatures Game,182,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game,7.384,7.63,25104.0,2,na,30,45,2.5
182,Dominion (Second Edition),183,https://boardgamegeek.com/boardgame/209418/dominion-second-edition,7.382,7.83,10587.0,2,4,30,na,2.19
183,Radlands,184,https://boardgamegeek.com/boardgame/329082/radlands,7.38,7.83,11122.0,2,na,20,40,2.28
184,That's Pretty Clever!,185,https://boardgamegeek.com/boardgame/244522/thats-pretty-clever,7.379,7.57,25070.0,1,4,30,na,1.86
185,Unmatched: Cobble & Fog,186,https://boardgamegeek.com/boardgame/294484/unmatched-cobble-and-fog,7.378,7.97,7916.0,2,4,20,40,1.97
186,Xia: Legends of a Drift System,187,https://boardgamegeek.com/boardgame/82222/xia-legends-of-a-drift-system,7.376,7.86,10149.0,3,5,60,180,3.18
187,Welcome To...,188,https://boardgamegeek.com/boardgame/233867/welcome-to,7.374,7.53,31656.0,1,100,25,na,1.84
188,Jaipur,189,https://boardgamegeek.com/boardgame/54043/jaipur,7.372,7.49,52756.0,2,na,30,na,1.46
189,Earth,190,https://boardgamegeek.com/boardgame/350184/earth,7.361,7.68,15502.0,1,5,45,90,2.89
190,War of the Ring,191,https://boardgamegeek.com/boardgame/9609/war-of-the-ring,7.358,7.78,10746.0,2,4,120,na,3.85
191,Planet Unknown,192,https://boardgamegeek.com/boardgame/258779/planet-unknown,7.358,7.81,9469.0,1,6,60,80,2.22
192,Chaos in the Old World,193,https://boardgamegeek.com/boardgame/43111/chaos-in-the-old-world,7.357,7.66,15734.0,3,4,60,120,3.2
193,Harmonies,194,https://boardgamegeek.com/boardgame/414317/harmonies,7.357,8.05,6939.0,1,4,30,45,2.0
194,Welcome to the Moon,195,https://boardgamegeek.com/boardgame/339789/welcome-to-the-moon,7.356,7.96,6996.0,1,6,25,30,2.48
195,Dune,196,https://boardgamegeek.com/boardgame/283355/dune,7.351,7.94,9129.0,2,6,120,180,3.99
196,This War of Mine: The Board Game,197,https://boardgamegeek.com/boardgame/188920/this-war-of-mine-the-board-game,7.349,7.77,13429.0,1,6,45,120,3.32
197,Memoir '44,198,https://boardgamegeek.com/boardgame/10630/memoir-44,7.342,7.53,30486.0,2,8,30,60,2.27
198,Nucleum,199,https://boardgamegeek.com/boardgame/396790/nucleum,7.342,8.19,5044.0,1,4,60,150,4.16
199,Star Wars: Outer Rim,200,https://boardgamegeek.com/boardgame/271896/star-wars-outer-rim,7.342,7.73,12999.0,1,4,120,180,2.57
