,id,name,Link,Min_players,Max_players,Min_duration,Max_duration,Weight
206,364011,Great Western Trail: Argentina,https://boardgamegeek.com/boardgame/364011,1,4,75,150,3.91
207,314491,Meadow,https://boardgamegeek.com/boardgame/314491,1,4,60,90,2.25
208,227224,The Red Cathedral,https://boardgamegeek.com/boardgame/227224,1,4,80,na,2.82
209,104162,Descent: Journeys in the Dark (Second Edition),https://boardgamegeek.com/boardgame/104162,1,5,120,na,3.21
210,199561,Sagrada,https://boardgamegeek.com/boardgame/199561,1,4,30,45,1.92
211,25021,Sekigahara: The Unification of Japan,https://boardgamegeek.com/boardgame/25021,2,na,180,na,2.8
212,39463,Cosmic Encounter,https://boardgamegeek.com/boardgame/39463,3,5,60,120,2.58
213,155426,Castles of Mad King Ludwig,https://boardgamegeek.com/boardgame/155426,1,4,90,na,2.65
214,316377,7 Wonders (Second Edition),https://boardgamegeek.com/boardgame/316377,3,7,30,na,2.31
215,242302,Space Base,https://boardgamegeek.com/boardgame/242302,2,5,60,na,2.13
216,282524,Horrified,https://boardgamegeek.com/boardgame/282524,1,5,60,na,2.02
217,118,Modern Art,https://boardgamegeek.com/boardgame/118,3,5,45,na,2.28
218,128882,The Resistance: Avalon,https://boardgamegeek.com/boardgame/128882,5,10,30,na,1.74
219,17133,Railways of the World,https://boardgamegeek.com/boardgame/17133,2,6,120,na,3.01
220,300531,Paleo,https://boardgamegeek.com/boardgame/300531,2,4,45,60,2.65
221,391163,Forest Shuffle,https://boardgamegeek.com/boardgame/391163,2,5,40,60,2.2
222,287954,Azul: Summer Pavilion,https://boardgamegeek.com/boardgame/287954,2,4,30,45,2.07
223,31627,Ticket to Ride: Nordic Countries,https://boardgamegeek.com/boardgame/31627,2,3,30,60,1.97
224,103343,A Game of Thrones: The Board Game (Second Edition),https://boardgamegeek.com/boardgame/103343,3,6,120,240,3.73
225,70149,Ora et Labora,https://boardgamegeek.com/boardgame/70149,1,4,60,180,3.89
226,374173,Star Wars: The Deckbuilding Game,https://boardgamegeek.com/boardgame/374173,2,na,30,na,2.02
227,188,Go,https://boardgamegeek.com/boardgame/188,2,na,30,180,3.92
228,171131,Captain Sonar,https://boardgamegeek.com/boardgame/171131,2,8,45,60,2.2
229,822,Carcassonne,https://boardgamegeek.com/boardgame/822,2,5,30,45,1.89
230,14105,Commands & Colors: Ancients,https://boardgamegeek.com/boardgame/14105,2,na,60,na,2.69
231,123260,Suburbia,https://boardgamegeek.com/boardgame/123260,1,4,60,90,2.76
232,148228,Splendor,https://boardgamegeek.com/boardgame/148228,2,4,30,na,1.78
233,104006,Village,https://boardgamegeek.com/boardgame/104006,2,4,60,90,3.06
234,299659,Clash of Cultures: Monumental Edition,https://boardgamegeek.com/boardgame/299659,2,4,180,240,3.7
235,150376,Dead of Winter: A Crossroads Game,https://boardgamegeek.com/boardgame/150376,2,5,60,120,3.01
236,285967,Ankh: Gods of Egypt,https://boardgamegeek.com/boardgame/285967,2,5,90,na,3.12
237,256680,Return to Dark Tower,https://boardgamegeek.com/boardgame/256680,1,4,100,120,2.67
238,215,Tichu,https://boardgamegeek.com/boardgame/215,4,na,60,na,2.34
239,241451,Aeon's End: Legacy,https://boardgamegeek.com/boardgame/241451,1,4,45,90,2.84
240,293014,Nidavellir,https://boardgamegeek.com/boardgame/293014,2,5,45,na,2.11
241,269207,The Taverns of Tiefenthal,https://boardgamegeek.com/boardgame/269207,2,4,60,na,2.68
242,182631,Star Realms: Colony Wars,https://boardgamegeek.com/boardgame/182631,2,na,20,na,1.9
243,332686,John Company: Second Edition,https://boardgamegeek.com/boardgame/332686,1,6,90,240,4.45
244,7854,YINSH,https://boardgamegeek.com/boardgame/7854,2,na,30,60,2.64
245,9209,Ticket to Ride,https://boardgamegeek.com/boardgame/9209,2,5,30,60,1.82
246,91,Paths of Glory,https://boardgamegeek.com/boardgame/91,2,na,480,na,3.85
247,245638,Coimbra,https://boardgamegeek.com/boardgame/245638,2,4,60,90,3.26
248,306735,Under Falling Skies,https://boardgamegeek.com/boardgame/306735,1,na,20,40,2.4
249,126042,Nations,https://boardgamegeek.com/boardgame/126042,1,5,40,200,3.54
250,295486,My City,https://boardgamegeek.com/boardgame/295486,2,4,30,na,1.98
251,195421,Near and Far,https://boardgamegeek.com/boardgame/195421,2,4,90,120,2.89
252,165722,KLASK,https://boardgamegeek.com/boardgame/165722,2,na,10,na,1.05
253,283155,Calico,https://boardgamegeek.com/boardgame/283155,1,4,30,45,2.19
254,54998,Cyclades,https://boardgamegeek.com/boardgame/54998,2,5,60,90,2.81
255,21050,Combat Commander: Europe,https://boardgamegeek.com/boardgame/21050,2,na,60,180,3.26
256,188834,Secret Hitler,https://boardgamegeek.com/boardgame/188834,5,10,45,na,1.74
257,221194,Dinosaur Island,https://boardgamegeek.com/boardgame/221194,1,4,90,120,3.04
258,260605,Camel Up (Second Edition),https://boardgamegeek.com/boardgame/260605,3,8,30,45,1.51
259,146886,La Granja,https://boardgamegeek.com/boardgame/146886,1,4,90,120,3.57
260,224037,Codenames: Duet,https://boardgamegeek.com/boardgame/224037,2,na,15,30,1.36
261,223040,Fantasy Realms,https://boardgamegeek.com/boardgame/223040,2,6,20,na,1.82
262,129437,Legendary: A Marvel Deck Building Game,https://boardgamegeek.com/boardgame/129437,1,5,30,60,2.43
263,232832,Century: Golem Edition,https://boardgamegeek.com/boardgame/232832,2,5,30,45,1.7
264,158600,Hanamikoji,https://boardgamegeek.com/boardgame/158600,2,na,15,na,1.68
265,274637,"Unmatched: Battle of Legends, Volume One",https://boardgamegeek.com/boardgame/274637,2,4,20,40,1.92
266,156129,Deception: Murder in Hong Kong,https://boardgamegeek.com/boardgame/156129,4,12,20,na,1.58
267,318977,MicroMacro: Crime City,https://boardgamegeek.com/boardgame/318977,1,4,15,45,1.1
268,192291,Sushi Go Party!,https://boardgamegeek.com/boardgame/192291,2,8,20,na,1.31
269,176189,Zombicide: Black Plague,https://boardgamegeek.com/boardgame/176189,1,6,60,180,2.48
270,199478,Flamme Rouge,https://boardgamegeek.com/boardgame/199478,2,4,30,45,1.7
271,3,Samurai,https://boardgamegeek.com/boardgame/3,2,4,30,60,2.44
272,176494,Isle of Skye: From Chieftain to King,https://boardgamegeek.com/boardgame/176494,2,5,30,50,2.25
273,555,The Princes of Florence,https://boardgamegeek.com/boardgame/555,1,5,75,100,3.24
274,169426,Roll Player,https://boardgamegeek.com/boardgame/169426,1,4,60,90,2.43
275,19857,Glory to Rome,https://boardgamegeek.com/boardgame/19857,2,5,60,na,2.93
276,224783,Vindication,https://boardgamegeek.com/boardgame/224783,2,5,45,150,3.09
277,300322,Hallertau,https://boardgamegeek.com/boardgame/300322,1,4,50,140,3.3
278,232405,Western Legends,https://boardgamegeek.com/boardgame/232405,2,6,60,90,2.85
279,228341,Pulsar 2849,https://boardgamegeek.com/boardgame/228341,2,4,60,90,3.34
280,109276,Kanban: Driver's Edition,https://boardgamegeek.com/boardgame/109276,2,4,90,120,4.36
281,198994,Hero Realms,https://boardgamegeek.com/boardgame/198994,2,4,20,na,1.85
282,194655,Santorini,https://boardgamegeek.com/boardgame/194655,2,4,20,na,1.73
283,286096,Tapestry,https://boardgamegeek.com/boardgame/286096,1,5,90,120,2.95
284,9216,Goa: A New Expedition,https://boardgamegeek.com/boardgame/9216,2,4,90,na,3.37
285,421,1830: Railways & Robber Barons,https://boardgamegeek.com/boardgame/421,2,7,180,360,4.17
286,311193,Anno 1800: The Board Game,https://boardgamegeek.com/boardgame/311193,1,4,120,na,3.12
287,20551,Shogun,https://boardgamegeek.com/boardgame/20551,3,5,90,120,3.37
288,31481,Galaxy Trucker,https://boardgamegeek.com/boardgame/31481,2,4,60,na,2.33
289,156546,Monikers,https://boardgamegeek.com/boardgame/156546,4,16,30,60,1.09
290,305096,Endless Winter: Paleoamericans,https://boardgamegeek.com/boardgame/305096,1,4,60,120,3.32
291,128621,Viticulture,https://boardgamegeek.com/boardgame/128621,2,6,90,na,2.94
292,27708,1960: The Making of the President,https://boardgamegeek.com/boardgame/27708,2,na,90,120,3.2
293,329839,So Clover!,https://boardgamegeek.com/boardgame/329839,3,6,30,na,1.11
